Dönem,Start Date,Start Time,End Time,Subject,Description,Location,,,,,,,,,,,,,,,,,,,
Time Table 1,HER HAFTA PAZARTESİ,16:00,17:00,FINE ART / KAZIM ABDULLAEV ,,ONLİNE,,,,,,,,,,,,,,,,,,,
Time Table 1,HER HAFTA SALI,11:00,12:30,ATATURK'S PRINCIPLES AND HISTORY OF THE REVOLUTION I / AYDIN ÇAKMAK,,ONLİNE,,,,,,,,,,,,,,,,,,,
Time Table 1,HER HAFTA SALI,12:30,14:00,ATATURK'S PRINCIPLES AND HISTORY OF THE REVOLUTION FOR  FOREIGN STUDENTS/ AYDIN ÇAKMAK,,ONLİNE,,,,,,,,,,,,,,,,,,,
Time Table 1,HER HAFTA PERŞEMBE,17:00,18:00,TURKISH LANGUAGE I / AHMET PEKŞEN,,ONLİNE,,,,,,,,,,,,,,,,,,,
Time Table 1,HER HAFTA PEERŞEMBE,18:00,19:00,TURKISH LANGUAGE FOR FOREIGN STUDENTS I / AHMET PEKŞEN,,ONLİNE,,,,,,,,,,,,,,,,,,,
Time Table 1,29 Eylül 2025 Pazartesi,08:30,16:20,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,
Time Table 1,30 Eylül 2025 Salı,08:30,16:20,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,08:30,09:10,'First lesson of Gazze '' -  Course orientation and Patch Adams discussion / Prof. Dr. Güler BAHADIR (İnglizce Tıp ile ortak),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,09:20,10:00,INTEGRATED SESSION-Introduction to the Course / Prof.Dr. İlhan İLKILIÇ / Dr. Öğr. Üyesi Hacer Ayşen YAVRU / Prof.Dr. Güler BAHADIR -Doç. Dr. A. Nilüfer ALÇALAR/ Prof.Dr. Selma KARABEY (Türkçe Tıp ile ortak ders),INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD. - ANESTEZİYOLOJİ VE REANİMASYON AD. - RUH SAĞLIĞI VE HASTALIKLARI AD. - HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,10:10,10:50,INTEGRATED SESSION-To Explain what is the Introduction to Medicine - and First aid / Dr. Öğr. Üyesi Hacer Ayşen YAVRU  (Prof. Dr. Kemalettin KOLTKA) - Prof.Dr. İlhan İLKILIÇ (Türkçe Tıp ile ortak ders),INTRODUCTION TO MEDICIN / ANESTEZİYOLOJİ VE REANİMASYON AD. - TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,11:00,11:40,1-Orientation to the course - Importance of Knowing Human Being in Medicine / Prof. Dr. Neşe DİREK (Dr. Öğr. Üyesi Ezgi İnce GULİYEV),INTRODUCTION TO MEDICINE / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,11:50,12:30,2-Humanistic Medicine /  Prof. Dr. Neşe DİREK (Dr. Öğr. Üyesi Ezgi İnce GULİYEV),INTRODUCTION TO MEDICINE / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,13:30,14:10,Elective Courses - 1,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,14:20,15:00,Elective Courses - 1,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,1 Ekim 2025 Çarşamba,15:10,15:50,Elective Courses - 1,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,08:30,09:10,"1-What is Human, Life and Death? / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL)",INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,09:20,10:00,2-What is Health and Disease?  /Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL,INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,10:10,10:50,1-Health From Past to Modern day / Prof.Dr. Selma KARABEY (Prof.Dr. Halim İŞSEVER),INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
