,,,,,,,,,,,,,,
Uygulama Salon Bilgileri :,,,,,,,,,,,,,,
Yaralı Taşıma Teknikleri : Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,,,,,,,,,,,,,
Temel Yaşam Desteği : Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,,,,,,,,,,,,,
Kırık-Çıkıklarda İlkyardım : Ortopedi Ve Travmatoloji Anabilim Dalı - Ortopedi Dershanesi,,,,,,,,,,,,,,
Mikroskop Kullanma Beceri Uygulaması - Değerlendirme : Mikrobiyoloji AD Uygulama Salonu Temel Bilimler 1.kat (8 Ekim 13.30 - 10 Ekim 13.30 Histoloji AD. Uygulama Salonu Temel Bilimler -2. katta yapılacaktır.),,,,,,,,,,,,,,
Tıbbi Biyoloji : Temel Bilimler Binası Tıbbi Biyoloji Pratik Salonu Kat:2,,,,,,,,,,,,,,
Histoloji : Temel Bilimler -2. kat,,,,,,,,,,,,,,
Biyokimya  : Temel Bilimler 3. kat ,,,,,,,,,,,,,,
Mikrobiyoloji : Temel Bilimler 1. kat ,,,,,,,,,,,,,,
Fizyoloji : Temel Bilimler -1. kat,,,,,,,,,,,,,,
Biyofizik : Temel Bilimler -1. kat,,,,,,,,,,,,,,
Anatomi : Anabilim dalı girişi uygulama salonu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Beceri Laboratuarı Uygulama Yerleri,,,,,,,,,,,,,,
Uygulama adı,,Uygulama Yeri,,Telefon,,,,,,,,,,
1) Öğrenme,,Amfi Programına bakınız.,,32336,,,,,,,,,,
2) Beslenme ,,Amfi Programına bakınız.,,32336,,,,,,,,,,
3) İletişim,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat Salon 1),,32336,,,,,,,,,,
"4) Nabız, Kan Basıncı ",,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,32336,,,,,,,,,,
5) Dikiş Düğüm ,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,32336,,,,,,,,,,
6) Bilimsel Düşünme 1 ,,Amfi Programına bakınız.,,32336,,,,,,,,,,
7) Enjeksiyon,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,32336,,,,,,,,,,
8) Şimdi ve Burada ,,Amfi Programına bakınız.,,32336,,,,,,,,,,
,,,,,,,,,,,,,,
INTRODUCTION TO MEDICINE ,,,,,,,,,,,,,,
Uygulama tarihi,Saat,"Temel Yaşam Desteği
 Dr. Öğr. Üyesi Hacer Ayşen YAVRU","Yaralı Taşıma
Prof. Dr. Zeynep SOLAKOĞLU","Kırık-Çıkıklarda
İlkyardım",Mikroskop Kullanma Beceri Uygulaması - Değerlendirme,,,,,,,,,
14 Ekim 2025 Salı,08:30-10:20,İ1,,,,,,,,,,,,
14 Ekim 2025 Salı,13:30-15:20,İ3,,,,,,,,,,,,
15 Ekim 2025 Çarşamba,10:30-12:20,,,,,,,,,,,,,
16 Ekim 2025 Perşembe,08:30-10:20,İ2,,İ1,,,,,,,,,,
17 Ekim 2025 Cuma,08:30-10:20,,,,İ2,,,,,,,,,
17 Ekim 2025 Cuma,14:00-15:50,telafi,telafi,,İ1,,,,,,,,,
24 Ekim 2025 Cuma,14:00-15:50,,İ1,,İ3,,,,,,,,,
10 Kasım 2025 Pazartesi,13:30-15:20,,İ2,,,,,,,,,,,
,,,,,,,,,,,,,,
MOLECULAR BASIS OF LIFE ,,,,,,,Dikey Koridor,,,,,,,
Uygulama Tarihi,Saat,Tıbbi Biyoloji,Temel Biyofizik,Tıbbi Biyokimya,Fizyoloji,PDÖ,"Öğrenme
(Prof.Dr. Zeynep SOLAKOĞLU)","Nabız, Kb
(Doç.Dr. Ayşe PALANDUZ)","İletişim
(Doç.Dr. Nilüfer ALÇALAR)","Şimdi Burada
(Dr.Öğr.Üyesi Hacer NALBANT)","Beslenme
(Dr.Öğr.Üyesi Beyza ELİUZ TİPİCİ)","Dikiş Düğüm
(Prof.Dr. Zeynep SOLAKOĞLU)","Kırık-Çıkıklarda
İlkyardım",  
22 Ekim 2025 Perşembe,10:30-12:20,,,İ1,,,,,,,,,,
23 Ekim 2025 Perşembe,13:30-15:20,,İ2,İ1,,,,,,,,,,
24 Ekim 2025 Cuma,14:00-15:20,,,,,,,,,,,,,
27 Ekim 2025 Pazartesi,08:30-10:20,,,,,,,,,,,,"H-A-B-i3-i2
KEMAL ATAY AMFİSİ",
31 Ekim 2025 Cuma,08:30-10:20,,İ1,İ2,,,,,,,,,,
4 Kasım 2025 Salı,08:30-10:20,,,İ2,,,,,,,,,,
7 Kasım 2025 Cuma,08:30-10:20,,,,,İ1,,,,,,,,
10 Kasım 2025Pazartesi,13:30-15:20,,,,,İ1,,,,,,,,
11 Kasım 2025 Salı,08:30-10:20,,,,,İ2,,,,,,,,
11 Kasım 2025 Salı,13:30-15:20,,,İ2,İ1,,,,,,,,,
14 Kasım 2025 Cuma,08:30-10:20,,,,,İ2,,,,,,,,
14 Kasım 2025 Cuma,14:00-16:00,,,,,,,,i2-1,,,,,
17 Kasım 2025 Pazartesi,08:30-10:20,,i2,İ1,,,,,,,,,,
17 Kasım 2025 Pazartesi,10:30-12:20,,i1,İ2,,,,,,,,,,
17 Kasım 2025 Pazartesi,13:30-15:20,,,İ1,,,,,,İ2,,,,
24 Kasım 2025 Pazartesi,10:30-12:20,İ2,i1,,,,,,,,,,,
24 Kasım 2025 Pazartesi,13:30-15:20,İ1,,,İ2,,,,,,,,,
25 Kasım 2025 Salı,08:30-10:20,,İ2,,,,,,,İ1,,,,
,,,,,,,,,,,,,,
Uygulama Sayısı,,1,3,4,1,1,,,,,,,,
,,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,,
TIBBİ BİYOKİMYA AD.,,,,,,,,,,,,,,
1.	Konsantrasyon Kavramları ve Çözeltiler,,,,,,,,,,,,,,
2.	pH-Tamponlar,,,,,,,,,,,,,,
3.	Spektrofotometri,,,,,,,,,,,,,,
4.	Enzimler,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,,
1. Plazmoliz-deplazmoliz ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BİYOFİZİK AD.,,,,,,,,,,,,,,
1.Elektromanyetik Dalgalar ile Molekülerin Analizi,,,,,,,,,,,,,,
2.Kromatografik yöntemler,,,,,,,,,,,,,,
"3.Sedimantasyon yöntemleri ( Hücre organellerinin eldesi,kanın alt yapılarının eldesi )",,,,,,,,,,,,,,
4. Enzimatik test sistemleri ,,,,,,,,,,,,,,
5. Radyo bağışıklık testi (RIA),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FİZYOLOJİ AD.,,,,,,,,,,,,,,
"1-Hücre Fizyolojisi-1 Eritrositlerin osmotik direncinin ölçülmesi, kantitatif fraj ilite testi Serumun tampon gücünün test edilmesi Eritrosit membranının permablitesi ve hemoliz",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOT: Dikey Koridor Beceri Uygulaması (Nabız, Kan Basıncı, Ateş, Ağırlık, Boy Ölçümü): Bu uygulamalardan önce ayrı bir bilgilendirme yapılmayacaktır.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CELL,,,,,,Dikey Koridor,,,,,,,,
Uygulama Tarihi,Saat,Tıbbi Biyoloji,Temel Biyofizik ,Tıbbi Biyokimya,Mikrobiyoloji,"Öğrenme
(Prof.Dr. Zeynep SOLAKOĞLU)","Nabız, Kb
(Prof.Dr. Ayşe PALANDUZ)","İletişim
(Doç.Dr. Nilüfer ALÇALAR)","Şimdi Burada
(Dr.Öğr.Üyesi Hacer NALBANT)","Beslenme
(Dr.Öğr.Üyesi Beyza ELİUZ TİPİCİ)","Dikiş Düğüm
(Prof.Dr. Zeynep SOLAKOĞLU)",,,
25 Kasım 2025 Salı,13:30-15:20,,,,,,,"i3-1
14.30-16.00",,,,,,
26 Kasım 2025 Çarşamba,10:50-12:30,,,İ1,,,,,,,,,,
27 Kasım 2025 Perşembe,08.30-10.20,,,,İ2,,,,,,,,,
27 Kasım 2025 Perşembe,10:30-12:20,,,,,,,,,,,,,
28 Kasım 2025 Cuma,08:30-10:20,İ2,,,İ1,,,,,,,,,
1 Aralık 2025 Pazartesi ,08:30-10:20,,,İ2,,,,,,,,,,
1 Aralık 2025 Pazartesi ,13:30-15:20,,,,,,,,,İ1-İ2-İ3,,,,
2 Aralık 2025 Salı,08:30-10:20,,,,,,i2,i1-2,,,,,,
3 Aralık 2025 Çarşamba ,08:30-10:20,,,,,,i1,i3-2,,,,,,
4 Aralık 2025 Perşembe,08:30-10:20,İ1,,,,,i3,,,,,,,
4 Aralık 2025 Perşembe,13:30-15:20,,,,,,,,,,,,,
5 Aralık 2025 Cuma,08:30-10:20,İ2,,,,,,,,,,,,
8 Aralık 2025 Pazartesi,08:30-10:20,İ1,,,,i2,,,,,,,,
8 Aralık 2025 Pazartesi,13:30-15:20,,,,İ2,i1,,,,,,,,
9 Aralık 2025 Salı,08:30-10:20,,,,,,,i2-2,,,,,,
10 Aralık 2025 Çarşamba,08:30-10:20,,İ2,,İ1,,,,,,,,,
12 Aralık 2025  Cuma,08:30-10:20,,İ1,,İ2,,,,,,,,,
12 Aralık 2025  Cuma,14:00-16:20,,,,,,,i1-1,,,,,,
15 Aralık 2025  Pazartesi,10:30-12:20,,İ1,,İ2,,,,,,,,,
15 Aralık 2025  Pazartesi,13:30-15:20,İ1,İ2,,,,,,,,,,,
16 Aralık 2025 Salı,08:30-10:20,İ2,,,,,,,,,,,,
18 Aralık 2025 Perşembe,13:30-15:20,i1,,,,,,,,,,,,
19 Aralık 2025 Cuma,08:30-10:20,İ2,,,i1,,,,,,,,,
22 Aralık 2025 Pazartesi,08:30-10:20,,,,i1,,,,,,,,,
22 Aralık 2025 Pazartesi,13:30-15:20,,,,İ2,,,,,,,,,
26 Aralık 2025  Cuma,08:30-10:20,,,,i1,,,,,,,,,
29 Aralık 2025  Pazartesi,10:30-12:20,i1,,,İ2,,,,,,,,,
29 Aralık 2025  Pazartesi,15.30-17.20,İ2,,,,,,,,,,,,
30 Aralık 2025   Salı,08:30-10:20,,,,i1,,,,,,,,,
5 Ocak 2026 Pazartesi,10:30-12:20,,,,İ2,,,,,,,,,
5 Ocak 2026 Pazartesi,08:30-10:20,,,,i1,,,,,,,,,
6 Ocak 2026 Salı,08.30-10.20,,,,,Telafi,,,,,,,,
7 Ocak 2026 Çarşamba,13.30-15.20,,,Telafi,,,,,,,,,,
9 Ocak 2026 Cuma,10.00-12.00,Telafi,,,,,,,,,,,,
Uygulama Sayısı,,5,2,1,7,,,,,,,,,
,,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,,
TIBBİ BİYOKİMYA AD.,,,,,,,,,,,,,,
1. Elektron transportu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,,
1. Kan Hücreleri,,,,,,,,,,,,,,
2. DNA izolasyonu,,,,,,,,,,,,,,
3. Tanı Yöntemleri,,,,,,,,,,,,,,
4. Mitoz-Mayoz Bölünme,,,,,,,,,,,,,,
5. Kan grupları,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BİYOFİZİK AD.,,,,,,,,,,,,,,
1.Hücre organelleri  ve alt yapılarının diferansiyel santrifüjü Sedimentasyon yöntemi ve Kanın alt yapılarının eldesi,,,,,,,,,,,,,,
2.RIA (Radyo Bağışıklık Testi),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIBBİ MİKROBİYOLOJİ AD.,,,,,,,,,,,,,,
1.Mikrobiyoloji laboratuvarında tanı ve çalışma kuralları Mikroorganizmaların morfolojik incelenmesi Işık mikroskobu Lam-lamel arası preparasyon inceleme Basit boyama,,,,,,,,,,,,,,
"2.Gram yöntemi ile boyanma Besiyerleri Besiyerlerine ekim yöntemleri Sterilizatörlerin çalışma prensipleri, demonstrasyonu ve sterilizatör kontrolü",,,,,,,,,,,,,,
3.Bakteri kapsülünün incelenmesi Bakteri kirpiğinin ve hareketinin incelenmesi Bakteri sporlarının incelenmesi Dezenfeksiyon ve antisepsi uygulamaları,,,,,,,,,,,,,,
4.Parazitlerin morfolojik incelenmesi,,,,,,,,,,,,,,
"5.Virus izolasyon yöntemleri, virusların tanısında moleküler yöntemler.",,,,,,,,,,,,,,
6.Serolojik testlerde prensipler.,,,,,,,,,,,,,,
7.Mantarların morfolojik incelenmesi ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOT: Dikey Koridor Beceri Uygulaması (Nabız, Kan Basıncı, Ateş, Ağırlık, Boy Ölçümü): Bu uygulamalardan önce ayrı bir bilgilendirme yapılmayacaktır.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
