Dönem,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,,,,,,
Dönem 1,HER HAFTA PAZARTESİ,16:00,17:00,GÜZEL SANATLAR / KAZIM ABDULLAEV,,ONLİNE,,,,,,
Dönem 1,HER HAFTA SALI,11:00,12:30,ATATÜRK İLKELERİ VE İNKILAP TARİHİ / AYDIN ÇAKMAK,,ONLİNE,,,,,,
Dönem 1,HER HAFTA SALI,12:30,14:00,YABANCI UYRUKLULAR İÇİN ATATÜRK İLKELERİ VE İNKILAP TARİHİ / AYDIN ÇAKMAK,,ONLİNE,,,,,,
Dönem 1,HER HAFTA PERŞEMBE,17:00,18:00,TÜRK DİLİ / AHMET PEKŞEN,,ONLİNE,,,,,,
Dönem 1,HER HAFTA PERŞEMBE,18:00,19:00,YABANCI UYRUKLULAR İÇİN TÜRK DİLİ / AHMET PEKŞEN,,ONLİNE,,,,,,
Dönem 1,HER HAFTA CUMA,15:00,17:00,YABANCI DİL / Öğr. Gör. Erhan TECİMEN,,ONLİNE,,,,,,
Dönem 1,29 Eylül 2025 Pazartesi,08:30,16:00,Açılış Töreni,,,,,,,,
Dönem 1,30 Eylül 2025 Salı,08:30,16:00,Açılış Töreni,,,,,,,,
Dönem 1,1 Ekim 2025 Çarşamba,08:30,09:10,İlk Ders GAZZE - Derse Yönelim  ve  Patch Adams Tartışması  / Prof. Dr. Güler BAHADIR (İnglizce Tıp ile ortak),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,1 Ekim 2025 Çarşamba,09:20,10:00,ENTEGRE OTURUM - Tıbba Merhaba Dilimi tanıtımı - İnsanı Tanımak - Prof. Dr.İlhan İLKILIÇ/ Dr. Öğr. Üyesi Ayşen YAVRU / Prof. Dr.Güler BAHADIR (Doç. Dr. Ayşe Nilüfer ALÇALAR) / Prof. Dr. Selma KARABEY (Prof. Dr. Gülsüm Nurhan İNCE) (İngilizce Tıp ile ortak ders),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK AD. - ANESTEZİYOLOJİ VE REANİMASYON AD. - RUH SAĞLIĞI VE HASTALIKLARI AD. - HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,1 Ekim 2025 Çarşamba,10:10,10:50,ENTEGRE OTURUM - Tıbba Merhaba Dilimi tanıtımı - İlk Yardım - Dr. Öğr. Üyesi Ayşen YAVRU (Prof. Dr. Kemalettin KOLTKA) / Prof.Dr. İlhan İLKILIÇ (İngilizce Tıp ile ortak ders),TIBBA MERHABA DİLİMİ / ANESTEZİYOLOJİ VE REANİMASYON AD. - TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,1 Ekim 2025 Çarşamba,11:00,11:40,1-Psikolojinin Tanımı - Tarihçesi ve Tıptaki Yeri / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
