,,,,,,,,,,,,,
Uygulama Salon Bilgileri :,,,,,,,,,,,,,
Yaralı Taşıma Teknikleri : Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat Salon 2 ),,,,,,,,,,,,,
Temel Yaşam Desteği : Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat Salon 1),,,,,,,,,,,,,
Kırık-Çıkıklarda İlkyardım : Nöroloji Bilimleri Binası ve Ortopedi Anabilim Dalı 4.Kat,,,,,,,,,,,,,
Mikroskop Kullanma Beceri Uygulaması - Değerlendirme : Histoloji AD. Uygulama Salonu Temel Bilimler -2. katta yapılacaktır.),,,,,,,,,,,,,
Tıbbi Biyoloji : Temel Bilimler Binası Tıbbi Biyoloji Pratik Salonu Kat:2,,,,,,,,,,,,,
Histoloji : Temel Bilimler -2. kat,,,,,,,,,,,,,
Biyokimya  : Temel Bilimler 3. kat ,,,,,,,,,,,,,
Mikrobiyoloji : Temel Bilimler 1. kat ,,,,,,,,,,,,,
Fizyoloji : Temel Bilimler -1. kat,,,,,,,,,,,,,
Biyofizik : Temel Bilimler -1. kat,,,,,,,,,,,,,
Anatomi : Anabilim dalı girişi uygulama salonu,,,,,,,,,,,,,
,,,,,,,,,,,,,
Beceri Laboratuarı Uygulama Yerleri,,,,,,,,,,,,,
Uygulama adı,,Uygulama Yeri,,Telefon,,,,,,,,,
1) Öğrenme,,Amfi Programına bakınız.,,32336,,,,,,,,,
2) Beslenme ,,Amfi Programına bakınız.,,32336,,,,,,,,,
3) İletişim,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi),,32336,,,,,,,,,
"4) Nabız, Kan Basıncı ",,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat Salon 2),,32336,,,,,,,,,
5) Dikiş Düğüm ,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat  Salon 1),,32336,,,,,,,,,
6) Bilimsel Düşünme 1 ,,Amfi Programına bakınız.,,32336,,,,,,,,,
7) Enjeksiyon,,Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat),,32336,,,,,,,,,
8) Şimdi ve Burada ,,Amfi Programına bakınız.,,32336,,,,,,,,,
,,,,,,,,,,,,,
TIBBA MERHABA DİLİMİ,,,,,,,,,,,,,
Uygulama tarihi,Saat,Temel Yaşam Desteği,Yaralı Taşıma,"Kırık-Çıkıklarda
İlkyardım",Mikroskop Kullanma Beceri Uygulaması - Değerlendirme,,,,,,,,
3 Ekim 2025 Cuma,10:30-12:20,A,,C,D,,,,,,,,
6 Ekim 2025 Pazartesi,10:30-12:20,B,,D,E,,,,,,,,
7 Ekim 2025 Salı,10:30-12:20,C,D,E,F,,,,,,,,
7 Ekim 2025 Salı,13:30-15:20,D,E,F,G,,,,,,,,
9 Ekim 2025 Perşembe,10:30-12:20,E,F,,H,,,,,,,,
9 Ekim 2025 Perşembe,13:30-15:20,F,G,,A,,,,,,,,
10 Ekim 2025 Cuma,14:00-15:50,G,H,,B,,,,,,,,
13 Ekim 2025 Pazartesi,10:30-12:20,H,A,,C,,,,,,,,
14 Ekim 2025 Salı,10:30-12:20,,B,,,,,,,,,,
16 Ekim 2025 Perşembe,08.30-10.20,,,,,,,,,,,,
17 Ekim 2025 Cuma,14:00-15:50,Telafi,C,,Telafi,,,,,,,,
23 Ekim 2025 Perşembe,10:30-12:20,,Telafi,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ,,,,,,,Dikey Koridor,,,,,,
Uygulama Tarihi,Saat,Tıbbi Biyoloji,Temel Biyofizik,Tıbbi Biyokimya,Fizyoloji,PDÖ,"Öğrenme
(Prof.Dr. Zeynep SOLAKOĞLU)","Nabız, Kb
(Prof.Dr. Ayşe PALANDUZ)","İletişim
(Doç.Dr. Nilüfer ALÇALAR)","Şimdi Burada
(Dr.Öğr.Üyesi Hacer NALBANT)","Beslenme
(Dr.Öğr.Üyesi Beyza ELİUZ TİPİCİ)","Dikiş Düğüm
(Prof.Dr. Zeynep SOLAKOĞLU)","Kırık-Çıkıklarda
İlkyardım"
23 Ekim 2025 Perşembe,10:30-12:20,,A,B,,,,C1,C2,,D,,
24 Ekim 2025 Cuma,10:30-12:20,,B,C,,,,,A2,,G,,
27 Ekim 2025 Pazartesi,08:30-10:20,,C,D,,,,A1,,,,,"H-A-B-i3-i2
KEMAL ATAY AMFİSİ"
27 Ekim 2025 Pazartesi,10:30-12:20,,D,E,,,,A2,,B,F,,
28 Ekim 2025 Salı,08:30-10:20,,E,F,,,,B1,,,,,
28 Ekim 2025 Salı,10:30-12:20,,F,G,,,,B2,,A,H,,
30 Ekim 2025 Perşembe,10:30-12:20,,G,H,,,,C2,C1,,A,,
30 Ekim 2025 Perşembe,13:30-15:20,,H,A,,,B,D1,,,,,
31 Ekim 2025 Cuma,10:30-12:20,,B,C,,,,,E2,H,,,
3 Kasım 2025 Pazartesi,08:30-10:20,,A,B,,,,D2,D1,,E,,
4 Kasım 2025 Salı,10:30-12:20,,D,E,,,A,F1,F2,,,,
4 Kasım 2025 Salı,13:30-15:20,,C,D,,,,,,,,,
6 Kasım 2025 Perşembe,10:30-12:20,,E,F,,,D,H1,H2,G,C,,
7 Kasım 2025 Cuma,10:30-12:20,,F,G,,,C,,H1,,B,,
7 Kasım 2025 Cuma,14:00-15:50,,G,H,,AB,E,,,,,,
10 Kasım 2025 Pazartesi,08:30-10:20,,H,A,,,,F2,,,,,
10 Kasım 2025 Pazartesi,10:30-12:20,,A,B,G,,F,E2,,,,,
11 Kasım 2025 Salı,10:30-12:20,,B,C,D,,H,G2,G1,E,,,
12 Kasım 2025 Çarşamba,08:30-10:20,,C,D,,AB,,H2,,,,,
12 Kasım 2025 Çarşamba,10:30-12:20,,D,E,F,,,G1,G2,C,,,
13 Kasım 2025 Perşembe,10:30-12:20,,E,F,B,CD,G,A2,A1,,,,
13 Kasım 2025 Perşembe,13:30-15:20,,F,G,,,,A1,,,,,
14 Kasım 2025 Cuma,10:30-12:20,,G,H,A,,,,F1,D,,,
18 Kasım 2025 Salı,10:30-12:30,G,H,A,C,EF,,B2,,,,,
18 Kasım 2025 Salı,13:30-15:20,B,,A,,CD,,,,,,,
19 Kasım 2025 Çarşamba,08:30-10:20,C,,B,,GH,,D1,,,,,
19 Kasım 2025 Çarşamba,10:30-12:20,D,,H,E,,,C1,,F,,,
20 Kasım 2025 Perşembe,08:30-10:20,A,,D,,,,C2,E1,,,,
20 Kasım 2025 Perşembe,13:30-15:20,F,,E,H,,,D2,,,,B,
21 Kasım 2025 Cuma,08:30-10:20,E,,F,,GH,,,,,Telafi,,
21 Kasım 2025 Cuma,10:30-12:20,H,,G,,EF,,,D2,,,,
24 Kasım 2025 Pazartesi,08:30-10:20,,,C,,,,B1,,,,F,
Uygulama Sayısı,,1,3,4,1,1,,,,,,,
,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,
TIBBİ BİYOKİMYA AD.,,,,,,,,,,,,,
1.	Konsantrasyon Kavramları ve Çözeltiler,,,,,,,,,,,,,
2.	pH-Tamponlar,,,,,,,,,,,,,
3.	Spektrofotometri,,,,,,,,,,,,,
4.	Enzimler,,,,,,,,,,,,,
,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,
1. Plazmoliz-deplazmoliz ,,,,,,,,,,,,,
,,,,,,,,,,,,,
BİYOFİZİK AD.,,,,,,,,,,,,,
1.Elektromanyetik Dalgalar ile Molekülerin Analizi,,,,,,,,,,,,,
2.Kromatografik yöntemler,,,,,,,,,,,,,
"3.Sedimantasyon yöntemleri ( Hücre organellerinin eldesi,kanın alt yapılarının eldesi )",,,,,,,,,,,,,
4. Enzimatik test sistemleri ,,,,,,,,,,,,,
5. Radyo bağışıklık testi (RIA),,,,,,,,,,,,,
,,,,,,,,,,,,,
FİZYOLOJİ AD.,,,,,,,,,,,,,
"1-Hücre Fizyolojisi-1 Eritrositlerin osmotik direncinin ölçülmesi, kantitatif fraj ilite testi Serumun tampon gücünün test edilmesi Eritrosit membranının permablitesi ve hemoliz",,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOT: Dikey Koridor Beceri Uygulaması (Nabız, Kan Basıncı, Ateş, Ağırlık, Boy Ölçümü): Bu uygulamalardan önce ayrı bir bilgilendirme yapılmayacaktır.",,,,,,,,,,,,,
,,,,,,,,,,,,,
HÜCRE DİLİMİ,,,,,,Dikey Koridor,,İLETİŞİM,,,,,
Uygulama Tarihi,Saat,Tıbbi Biyoloji,Temel Biyofizik ,Tıbbi Biyokimya,Mikrobiyoloji,"Nabız, Kb
(Prof. Dr. Ayşe PALANDUZ)","Dikiş Düğüm
(Prof.Dr. Zeynep SOLAKOĞLU)",,,,,,
25 Kasım 2025 Salı,10:30-12:20,A,,,,E1,G,,,,,,
27 Kasım 2025 Perşembe,10:30-12:20,B,,,,E2,,,,,,,
27 Kasım 2025 Perşembe,13:30-15:20,C,,,,G2,,,,,,,
28 Kasım 2025 Cuma,10:30-12:20,D,,,,,,,,,,,
1 Aralık 2025 Pazartesi,08:30-10:20,E,,,,A1,,,,,,,
1 Aralık 2025 Pazartesi,10:30-12:20,F,,,AB,G1,D,,,,,,
2 Aralık 2025 Salı,10:30-12:20,G,,,CD,F2,E,,,,,,
3 Aralık 2025 Çarşamba,08:30-10:20,H,,,EF,,A,,,,,,
4 Aralık 2025 Perşembe,10:30-12:20,A,,,GH,E1,,,,,,,
4 Aralık 2025 Perşembe,13.30-15:20,B,,,,H1,C,,,,,,
8 Aralık 2025 Pazartesi,10:30-12:20,C,,,GH,F1,,,,,,,
9 Aralık 2025 Salı,10:30-12:20,D,,,EF,,H,,,,,,
9 Aralık 2025 Salı,13:30-15:20,E,,,,,,,,,,,
10 Aralık 2025 Çarşamba,10:30-12:20,F,,,AB,H2,C,,,,,,
11 Aralık 2025 Perşembe,10:30-12:20,G,,,CD,,A,,,,,,
12 Aralık 2025 Cuma,10:30-12:20,H,,,EF,,,,,,,,
12 Aralık 2025 Cuma,14:00-15:50,A,,,,,,,,,,,
15 Aralık 2025 Pazartesi,15:10-16:30,,,,,,,,,,,,
16 Aralık 2025 Salı,10:30-12:20,B,,,CD,,,,,,,,
16 Aralık 2025 Salı,13:30-15:20,C,A,,,,,,,,,,
16 Aralık 2025 Salı,15.30-17.20,,,,,,,,Öğrenme Uyg. Telafisi,,,,
17 Aralık 2025 Çarşamba,10:30-12:20,D,B,,GH,,,,,,,,
18 Aralık 2025 Perşembe,08:30-10:20,E,C,,AB,,,,,,,,
18 Aralık 2025 Perşembe,10:30-12:20,F,E,,GH,,,,,,,,
18 Aralık 2025 Perşembe,13.30-15.20,,,,,,,,PDÖ Telafi,,,,
19 Aralık 2025 Cuma,10:30-12:20,G,D,,AB,,,,,,,,
19 Aralık 2025 Cuma,14:00-15:50,H,G,,CD,,,,,,,,
22 Aralık 2025 Pazartesi,08:30-10:20,A,F,,,,B,,,,,,
22 Aralık 2025 Pazartesi,10:30-12:20,B,H,,EF,,D,,,,,,
22 Aralık 2025 Pazartesi,13.30-15.20,,,,,,,,PDÖ Telafi,,,,
23 Aralık 2025 Salı,10:30-12:20,C,,,GH,,E,B1,,,,,
23 Aralık 2025 Salı,13:30-15:20,D,,,,,F,,,,,,
24 Aralık 2025 Çarşamba,08:30-10:20,E,,,AB,,G,,,,,,
24 Aralık 2025 Çarşamba,10:30-12:20,F,,,CD,,,B2,,,,,
25 Aralık 2025 Perşembe,08:30-10:20,G,F,E,AB,,H,,,,,,
26 Aralık 2025 Cuma,10:30-12:20,H,A,B,CD,,,,,,,,
26 Aralık 2025 Cuma,14:00-15:50,A,G,C,EF,,,,,,,,
29 Aralık 2025 Pazartesi,08:30-10:20,B,C,D,EF,,,,,,,,
29 Aralık 2025 Pazartesi,13:30-15:20,C,B,A,GH,,,,,,,,
30 Aralık 2025 Salı,10:30-12:20,D,E,F,GH,,,,,,,,
30 Aralık 2025 Salı,13:30-15:20,E,D,H,AB,,,,,,,,
5 Ocak 2026 Pazartesi,08:30-10:20,G,,,,,,,,,,,
5 Ocak 2026 Pazartesi,15.10-17.00,F,H,G,CD,,,,,,,,
6 Ocak 2026 Salı,08.30-10.20,,,,,,,,Öğrenme-TELAFİ,,,,
6 Ocak 2026 Salı,10:30-12:20,H,,,EF,,,,,,,,
7 Ocak 2026 Çarşamba,13:30-15:20,,,TELAFİ,,,,TELAFİ,,,,,
9 Ocak 2026 Cuma,10.00-12.00,TELAFİ,,,,,,,,,,,
Uygulama Sayısı,,5,2,1,7,,,,,,,,
,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,
TIBBİ BİYOKİMYA AD.,,,,,,,,,,,,,
1. Elektron transportu,,,,,,,,,,,,,
,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,
