BLOOD AND IMMUNE SYSTEM 1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
17 Eylül 2025 Çarşamba
13:30-15:20","1/2
19 Eylül 2025 Cuma
10:30-12:20","1/3
24 Eylül 2025 Çarşamba
08:30-10:20","1/4
26 Eylül 2025 Cuma
10:30-12:20",,,,,,,,,,,,,
Fizyoloji,Fizyoloji Pratik salonu,i1,i2,i2,i1,,,,,,,,,,,,,
Histoloji,Histoloji Pratik salonu,i2,i1,,,,,,,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1:,,,,,,,,,,,,,,,,,,
Hematokrit değerinin saptanması,,,,,,,,,,,,,,,,,,
Hemoglobin miktarının ölçülmesi,,,,,,,,,,,,,,,,,,
"Pıhtılaşma olayı, bazı koagülan ve antikoagülanların etkileri",,,,,,,,,,,,,,,,,,
Kandan fibrin elde edilmesi,,,,,,,,,,,,,,,,,,
Kanama zamanının saptanması: Duke yöntemi,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-2:,,,,,,,,,,,,,,,,,,
Kandan Yayma Preparat Hazırlanması: Lökosit (Formülü) Alt grup Dağılımı,,,,,,,,,,,,,,,,,,
Eritrosit Sedimantasyon Hızı Ölçümü,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji:,,,,,,,,,,,,,,,,,,
İnsan Kanı (Giemsa),,,,,,,,,,,,,,,,,,
Dalak (Safrenalin & Hematoksilen),,,,,,,,,,,,,,,,,,
Timus (H&E) ,,,,,,,,,,,,,,,,,,
Tonsilla Palatina (H&E) ,,,,,,,,,,,,,,,,,,
Lenf Düğümü (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CIRCULATION I,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"3 Ekim 2025 Cuma
08:30-10:20","6 Ekim 2025 Pazartesi
14:00-15:50","21 Ekim 2025 Salı
08:30-10:20",,,,,,,,,,,,,,
Fizyoloji 1,Fizyoloji Pratik salonu,i2,i1,,,,,,,,,,,,,,,
Fizyoloji 2,AMFİ,"TÜM GRUPLAR
8 Ekim 2025
08:30-10:20",,,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i1,,i2,,,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,*,,,,,,,,,,,,,,
Anatomi (13),Anabilim Dalı,02.09.2025,04.09.2025,09.09.2025,11.09.2025,16.09.2025,18.09.2025,23.09.2025,25.09.2025,30.09.2025,02.10.2025,07.10.2025,09.10.2025,14.10.2025,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
Kurbağa kalp faaliyetlerinin suspansiyon metodu ile incelenmesi (in situ preparatta),,,,,,,,,,,,,,,,,,
"Kalpte sistol, refrakter dönem, kompansatuar dinlenme dönemi ",,,,,,,,,,,,,,,,,,
Kalp işlerliğine ısının etkisi,,,,,,,,,,,,,,,,,,
Stannius deneyleri ,,,,,,,,,,,,,,,,,,
Kalp kasında hep-hiç yasası,,,,,,,,,,,,,,,,,,
Çeşitli iyon ve nörohormonların kalp işlevlerine etkileri,,,,,,,,,,,,,,,,,,
Fizyoloji-2,,,,,,,,,,,,,,,,,,
İnsanda kalp seslerinin dinlenmesi,,,,,,,,,,,,,,,,,,
"İnsanda EKG kaydı ve analizi, kalbin elektriksel ekseninin hesaplanması ",,,,,,,,,,,,,,,,,,
İnsanda arteryel kan basıncının ölçülmesi: indirekt yöntem ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Kalp (H&E) ,,,,,,,,,,,,,,,,,,
Kalpte Purkinje lifleri (PAS+Haemalun),,,,,,,,,,,,,,,,,,
Elastik Arter (Rezorcin Fuchsin&Van Gieson) ,,,,,,,,,,,,,,,,,,
Muskular Arter (Rezorcin Fuchsin&Van Gieson),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
