Dönem,Start Date,Start Time,End Time,Subject,Description,Location,,
Time Table 2,1 Eylül 2025 Pazartesi,08:30,16:20,FREE TIME,,,,
Time Table 2,2 Eylül 2025 Salı,09:00,09:30,PRESENTATION OF CLASS 2ND / Prof. Dr. Abdurrahman Fatih AYDIN (Türkçe Tıp ile ortak ders),TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,2 Eylül 2025 Salı,09:40,10:00,Introduction to the Integrated Doctorate Program in Medicine / Prof. Dr. Leman YALÇINTEPE (Türkçe ile ortak),,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,2 Eylül 2025 Salı,10:10,10:50,FREE TIME,,,,
Time Table 2,2 Eylül 2025 Salı,11:00,11:40,1-Bone marrow / Doç. Dr. Tuğba KOTİL (Dr.Öğr.Üyesi Tuğba EKİZ YILMAZ),BLOOD AND IMMUNE SYSTEM / HİSTOLOJİ VE EMBRİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,2 Eylül 2025 Salı,11:50,12:30,1-General information on the circulatory system anatomy / Dr.Öğr. Üyesi (Doç. Dr.) Özcan GAYRETLİ (Dr.Öğr. Üyesi Osman COŞKUN),CIRCULATION I / ANATOMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,2 Eylül 2025 Salı,12:30,13:30,lunch break,,,,
Time Table 2,2 Eylül 2025 Salı,13:30,14:20,DISSECTION (1/13),CIRCULATION I / ANATOMİ AD.,ANATOMİ AD. LABORATUVARI,,
Time Table 2,2 Eylül 2025 Salı,14:30,15:20,DISSECTION (1/13),CIRCULATION I / ANATOMİ AD.,ANATOMİ AD. LABORATUVARI,,
Time Table 2,2 Eylül 2025 Salı,15:30,16:20,DISSECTION (1/13),CIRCULATION I / ANATOMİ AD.,ANATOMİ AD. LABORATUVARI,,
Time Table 2,3 Eylül 2025 Çarşamba,08:30,09:10,FREE TIME,,,,
Time Table 2,3 Eylül 2025 Çarşamba,09:20,10:00,1-Consepts related to the immune system / Prof. Dr. Sevim MEŞE (Prof. Dr.Hayriye KIRKOYUN UYSAL),BLOOD AND IMMUNE SYSTEM / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,3 Eylül 2025 Çarşamba,10:10,10:50,2-Antigens and receptors / Prof. Dr.Hayriye KIRKOYUN UYSAL (Dr.Öğr. Üyesi Mustafa ÖNEL),BLOOD AND IMMUNE SYSTEM / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,3 Eylül 2025 Çarşamba,11:00,11:40,1-Hemoproteins - functions - properties of phorphyrin ring / Prof. Dr. Nihal SALMAYENLİ (Prof. Dr. Abdurrahman Fatih AYDIN),BLOOD AND IMMUNE SYSTEM / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,3 Eylül 2025 Çarşamba,11:50,12:30,2-Porphyrins and heme synthesis / Prof. Dr. Nihal SALMAYENLİ  (Prof. Dr. Abdurrahman Fatih AYDIN),BLOOD AND IMMUNE SYSTEM / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
Time Table 2,3 Eylül 2025 Çarşamba,12:30,13:30,lunch break,,,,
Time Table 2,3 Eylül 2025 Çarşamba,13:30,15:00,Introduction to Medical Skills Practices / Dr.Öğr. Üyesi Hacer NALBANT (Prof. Dr. Zeynep Olcay SOLAKOĞLU) (Türkçe Tıp ile ortak ders),MEDICAL SKILLS LABORATORY II / TIP EĞİTİMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,
