Dönem ,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER
Dönem 2,1 Eylül 2025 Pazartesi,08:30,16:20,SERBEST ÇALIŞMA,,
Dönem 2,2 Eylül 2025 Salı,09:00,09:30,2. Sınıf Tanıtım / Prof. Dr. Abdurrahman Fatih AYDIN (İngilizce Tıp ile ortak ders),TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,2 Eylül 2025 Salı,09:40,10:00,"Tıpta Bütünleşik Doktora Programı Tanıtımı / Prof. Dr. Leman YALÇINTEPE
 (İngilizce ile ortak)",,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,2 Eylül 2025 Salı,10:10,10:50,1-Kanın fiziksel özellikleri-plazma bileşenlerinin genel işlevsel özellikleri / Prof. Dr. Fatma Aytül UYAR (Prof. Dr. Güher SARUHAN DİRESKENELİ),KAN LENFOİD DİLİMİ / FİZYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,2 Eylül 2025 Salı,11:00,11:40,1-Dolaşım sistemi anatomisi genel bilgi / Dr. Öğr. Üyesi (Doç. Dr. ) Özcan GAYRETLİ (Dr. Öğr. Üyesi Osman COŞKUN),DOLAŞIM I DİLİMİ / ANATOMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,2 Eylül 2025 Salı,11:50,12:30,SERBEST ÇALIŞMA,,
Dönem 2,2 Eylül 2025 Salı,13:30,14:20,DİSEKSİYON (1/13),,
Dönem 2,2 Eylül 2025 Salı,14:30,15:20,DİSEKSİYON (1/13),,
Dönem 2,2 Eylül 2025 Salı,15:30,16:20,DİSEKSİYON (1/13),,
Dönem 2,3 Eylül 2025 Çarşamba,08:30,09:10,2-Hematopoez: eritropoez / Prof. Dr. Fatma Aytül UYAR (Prof. Dr. Güher SARUHAN DİRESKENELİ),KAN LENFOİD DİLİMİ / FİZYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,09:20,10:00,3-Eritrosit işlevleri - eritrosit yaşamının düzenlenmesi ve hemoliz / Prof. Dr. Fatma Aytül UYAR (Prof. Dr. Güher SARUHAN DİRESKENELİ),KAN LENFOİD DİLİMİ / FİZYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,10:10,10:50,1-Hematopoez / Doç. Dr. Tuğba KOTİL (Dr. Öğr. Üyesi Tuğba EKİZ YILMAZ),KAN LENFOİD DİLİMİ / HİSTOLOJİ VE EMBRİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,11:00,11:40,2-Kalbin dış ve iç görünüşü / Dr. Öğr. Üyesi (Doç. Dr. ) Özcan GAYRETLİ (Dr. Öğr. Üyesi Osman COŞKUN),DOLAŞIM I DİLİMİ / ANATOMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,11:50,12:30,3-Ventriküller ve atriumlar / Dr. Öğr. Üyesi (Doç. Dr. ) Özcan GAYRETLİ (Dr. Öğr. Üyesi Osman COŞKUN),DOLAŞIM I DİLİMİ / ANATOMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,13:30,15:00,Beceri Uygulamaları Tanıtım Dersi / Dr. Öğr. Üyesi Hacer NALBANT (Prof. Dr. Zeynep Olcay SOLAKOĞLU) (İngilizce Tıp ile ortak ders),DİKEY KORİDOR II / TIP EĞİTİMİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,3 Eylül 2025 Çarşamba,15:10,15:50,1-Hemoproteinler - işlevleri (Porfirin halkasının özellikleri / Prof. Dr. Semra Doğru ABBASOĞLU (Prof. Dr. Nihal SALMAYENLİ),KAN LENFOİD DİLİMİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 2,4 Eylül 2025 Perşembe,08:30,09:10,SERBEST ÇALIŞMA,,
