,,,,,,,,,,,,,,,,,,
KAN LENFOİD 1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
8 Eylül 2025 Pazartesi
08:30-10:20","1/2
9 Eylül 2025 Salı
08:30-10:20","1/3
10 Eylül 2025 Çarşamba
08:30-10:20","1/4
10 Eylül 2025 Çarşamba
10:30-12:20","1/5
11 Eylül 2025 Perşembe
08:30-10:20","1/6
15 Eylül 2025 Pazartesi
08:30-10:20","1/7
15 Eylül 2025
Pazartesi
13:30-15.20","1/8
16 Eylül 2025
 Salı
08:30-10:20",,,,,,,,,
Fizyoloji,Fizyoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
Uygulama adı,Uygulama yeri,"2/1
17 Eylül 2025 Çarşamba
08:30-10:20","2/2
18 Eylül 2025
 Perşembe
08:30-10:20","2/3
19 Eylül 2025 
Cuma
08:30-10:20","2/4
22 Eylül 2025 Pazartesi
08:30-10:20","2/5
23 Eylül 2025 
Salı
10:30-12:20","2/6
24 Eylü 2025
Çarşamba
13:30-15:20","2/7
26 Eylül 2025
Cuma
8:30-10:20","2/8
2 Ekim 2025
Perşembe
8:30-10:20",,,,,,,,,
Fizyoloji,Fizyoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Histoloji,Histoloji Pratik salonu,H,G,F,E,C,D,B,A,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1:,,,,,,,,,,,,,,,,,,
Hematokrit değerinin saptanması,,,,,,,,,,,,,,,,,,
Hemoglobin miktarının ölçülmesi,,,,,,,,,,,,,,,,,,
"Pıhtılaşma olayı, bazı koagülan ve antikoagülanların etkileri",,,,,,,,,,,,,,,,,,
Kandan fibrin elde edilmesi,,,,,,,,,,,,,,,,,,
Kanama zamanının saptanması: Duke yöntemi,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-2:,,,,,,,,,,,,,,,,,,
Kandan Yayma Preparat Hazırlanması: Lökosit (Formülü) Alt grup Dağılımı,,,,,,,,,,,,,,,,,,
Eritrosit Sedimantasyon Hızı Ölçümü,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji:,,,,,,,,,,,,,,,,,,
İnsan Kanı (Giemsa),,,,,,,,,,,,,,,,,,
Dalak (Safrenalin & Hematoksilen),,,,,,,,,,,,,,,,,,
Timus (H&E) ,,,,,,,,,,,,,,,,,,
Tonsilla Palatina (H&E) ,,,,,,,,,,,,,,,,,,
Lenf Düğümü (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DOLAŞIM-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,,,,,,,,,,,,,,,,,
Fizyoloji 1,AMFİ,"TÜM GRUPLAR
8.10.2025
08:30-10:20",,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"2/1
03 Ekim 2025
Cuma
14:00-15.30","2/2
9 Ekim 2025 
Perşembe
08:30-10:20","2/3
10 Ekim 2025 
Cuma
08:30-10:20","2/4
13 Ekim 2025 
Pazartesi
08:30-10:20","2/5
13 Ekim 2025
Pazartesi
10:30-12:20","2/6
15 Ekim 2025 Çarşamba
08:30-10:20","2/7
15 Ekim 2025 Çarşamba
10:30-12:20","2/8
16 Ekim 2025
Perşembe
08:30-10:20","
16 Ekim 2025
Perşembe
10:20-12:20",,,,,,,,
Fizyoloji 2,Fizyoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,H,G,F,E,,D,B,A,C,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
Anatomi 13,Anabilim Dalı,02.09.2025,04.09.2025,09.09.2025,11.09.2025,16.09.2025,18.09.2025,23.09.2025,25.09.2025,30.09.2025,02.10.2025,07.10.2025,09.10.2025,14.10.2025,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
Kurbağa kalp faaliyetlerinin suspansiyon metodu ile incelenmesi (in situ preparatta),,,,,,,,,,,,,,,,,,
"Kalpte sistol, refrakter dönem, kompansatuar dinlenme dönemi ",,,,,,,,,,,,,,,,,,
Kalp işlerliğine ısının etkisi,,,,,,,,,,,,,,,,,,
Stannius deneyleri ,,,,,,,,,,,,,,,,,,
Kalp kasında hep-hiç yasası,,,,,,,,,,,,,,,,,,
Çeşitli iyon ve nörohormonların kalp işlevlerine etkileri,,,,,,,,,,,,,,,,,,
Fizyoloji-2,,,,,,,,,,,,,,,,,,
İnsanda kalp seslerinin dinlenmesi,,,,,,,,,,,,,,,,,,
"İnsanda EKG kaydı ve analizi, kalbin elektriksel ekseninin hesaplanması ",,,,,,,,,,,,,,,,,,
İnsanda arteryel kan basıncının ölçülmesi: indirekt yöntem ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Kalp (H&E) ,,,,,,,,,,,,,,,,,,
Kalpte Purkinje lifleri (PAS+Haemalun),,,,,,,,,,,,,,,,,,
Elastik Arter (Rezorcin Fuchsin&Van Gieson) ,,,,,,,,,,,,,,,,,,
Muskular Arter (Rezorcin Fuchsin&Van Gieson),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
