,TARİH,Başlangıç Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,08:30,09:10,3. Sınıf Tanıtımı / Prof.Dr. Hasan KUDAT (İngilizce Tıp ile ortak ders) ,SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,09:20,10:00,1-Klinik muayeneye giriş hastaya yaklaşım hekimin tutumu anamnez alma ve özellikleri / Prof.Dr. Bülent SAKA,SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,10:10,10:50,2-Genel durum muayenesi I /  Prof.Dr. Timur Selçuk AKPINAR (Doç.Dr.Mustafa ALTINKAYNAK),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,11:00,11:40,3-Genel durum muayenesi II /  Prof.Dr. Timur Selçuk AKPINAR (Doç.Dr.Mustafa ALTINKAYNAK),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,11:50,12:30,4-Genel durum muayenesi III /Prof.Dr. Timur Selçuk AKPINAR  (Doç.Dr.Mustafa ALTINKAYNAK),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,13:30,14:20,1-Kardiyolojide Anamnez / Prof.Dr. Aytaç ÖNCÜL (Prof.Dr. Cafer ZORKUN ),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,14:30,15:10,1-Kardiyolojide Fizik Muayene / Prof.Dr. Aytaç ÖNCÜL( Prof.Dr. Cafer ZORKUN ),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
Dönem 3A Grubu,1 Eylül 2025 Pazartesi,15:20,16:00,SERBEST ÇALIŞMA,,
Dönem 3A Grubu,2 Eylül 2025 Salı,08:30,09:10,SERBEST ÇALIŞMA,,
Dönem 3A Grubu,2 Eylül 2025 Salı,09:20,10:00,5-Endokrin sistem semiyolojisi ve muayene metotları-1 / Prof.Dr. Ayşe KUBAT ÜZÜM (Prof.Dr. Özlem SOYLUK SELÇUKBİRİCİK),SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ
