2,,,,,,,,
DÖNEM-3 HAREKET 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim/Bilim Dalları,FİZİK TEDAVİ,FİZİK TEDAVİ,ORTOPEDİ,ORTOPEDİ,ROMATOLOJİ,ROMATOLOJİ,SPOR HEKİMLİĞİ,ÇOCUK SAĞLIĞI
TARİH,,,,,,,,
22 Eylül 2025 Pazartesi,A1,A2,A3,A4,A5,A6,A7,A8
24 Eylül 2025 Çarşamba,A3,A4,A5,A6,A7,A8,A1,A2
29 Eylül 2025 Pazartesi,A5,A6,A7,A8,A1,A2,A4,A3
1 Ekim 2025 Çarşamba,A7,A8,A1,A2,A3,A4,A5,A6
6 Ekim 2025 Pazartesi,A1,A2,A3,A4,A5,A6,A8,A7
8 Ekim 2025 Çarşamba,A3,A4,A5,A6,A8,A7,A2,A1
13 Ekim 2025 Pazartesi,A5,A6,A8,A7,A1,A2,A3,A4
15 Ekim 2025 Çarşamba,A8,A7,A1,A2,A3,A4,A6,A5
,,,,,,,,
Çocuk Sağlığı (Romatoloji),,,,,,,,
Çocuklarda Eklem Muayenesi,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Klinik toksikoloji alanında farmakoloji ilkelerinin uygulanması,,,,,,,,
,,,,,,,,
Fizik Tedavi,,,,,,,,
Vakalarla Kas İskelet Sistemi,,,,,,,,
1- Bel ağrısı,,,,,,,,
2- Osteoartrit,,,,,,,,
3- Ankilozan Spondilit,,,,,,,,
4- Romatoid artrit,,,,,,,,
,,,,,,,,
Mikrobiyoloji,,,,,,,,
Yumuşak/kemik doku infeksiyonlarının tanısı,,,,,,,,
a) Aerop ve anaerop kültür yöntemleri,,,,,,,,
b) Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
,,,,,,,,
Ortopedi,,,,,,,,
Travmalı hastanın ortopedik muayenesi (acil yaklaşımlar),,,,,,,,
"Travmalı hastalarda konservatif tedavi yöntemleri (tansiyon, bandaj, ortez-atel, s.alçı)",,,,,,,,
,,,,,,,,
Patoloji,,,,,,,,
Kemik Hastalıkları:,,,,,,,,
