25,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,08:30,09:10,3. Sınıf Tanıtımı / Prof.Dr. Hasan KUDAT (İngilizce Tıp ile ortak ders) A + B Grubu Ortak,SEMİYOLOJİ DİLİMİ / İÇ HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,09:20,10:00,1-Çocuk ve ergende öykü / Prof.Dr. Ayşe KILIÇ (Prof.Dr.İsmail YILDIZ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,10:10,10:50,2-Çocuk ve ergende fizik muayene / Prof.Dr. Ayşe KILIÇ (Prof.Dr.İsmail YILDIZ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,11:00,11:40,3-Yenidoğanın fizik muayenesi ve özellikleri Yenidoğanın bakımı/ Doç. Dr.Beril ÖZALP YAŞA (Prof.Dr.Leyla BİLGİN),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,13:30,14:20,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,14:30,15:10,6-Çocukta dolaşım sistemi semiyolojisi / Prof.Dr. Mustafa ÖZÇETİN (Prof.Dr. Ayşe KILIÇ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,1 Eylül 2025 Pazartesi,15:20,16:00,10-Genitoüriner sistem semiyolojisi / Prof.Dr.Mustafa ÖZÇETİN (Prof.Dr.ALEV YILMAZ) ,SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,2 Eylül 2025 Salı,08:30,09:10,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,2 Eylül 2025 Salı,09:20,10:00,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,2 Eylül 2025 Salı,10:10,10:50,7-Kan lenfoid sistem semiyolojisi / Prof.Dr.Ayşegül  ÜNÜVAR/Prof.Dr.Deniz TUĞCU,SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,2 Eylül 2025 Salı,11:00,11:40,8-Çocukta sindirim sistemi semiyolojisi / Doç.Dr.Elif TÜRKMEN (Doç.Dr.Zerrin ÖNAL),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,2 Eylül 2025 Salı,11:50,12:30,11-Çocuk nörolojisinde öykü - normal nörolojik gelişim ve anormal bulguların değerlendirilmesi / Prof.Dr.Edibe PEMBEGÜL YILDIZ (Dr.Öğr.Üyesi Mehmet Akif KILIÇ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,2 Eylül 2025 Salı,13:30,14:20,5-Çocukta solunum sistemi semiyolojisi / Prof.Dr. İsmail YILDIZ (Prof.Dr. Ayşe KILIÇ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,2 Eylül 2025 Salı,14:30,15:10,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,2 Eylül 2025 Salı,15:20,16:00,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,3 Eylül 2025 Çarşamba,08:30,09:10,SERBEST ÇALIŞMA,,,
Dönem 3B Grubu,3 Eylül 2025 Çarşamba,09:20,10:00,12-Lökomotor sistem semiyolojisi / Prof.Dr.Ayşe KILIÇ (Prof.Dr.İsmail YILDIZ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
Dönem 3B Grubu,3 Eylül 2025 Çarşamba,10:10,10:50,13-Çocuk Endokrin sistem semiyolojisi / Prof.Dr.Mustafa ÖZÇETİN (Prof.Dr.Ayşe KILIÇ),SEMİYOLOJİ DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,
