HAREKET 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Fiziksel Tıp ve Rehabilitasyon AD,AMFİ PROGRAMINA BAKINIZ
Ortopedi ve Travmatoloji AD,NÖROLOJİ BİNASI
Romatoloji Bilim Dalı BD,
Spor Hekimliği AD ,ANABİLİM DALI
Çocuk Sağlığı ve Hastalıkları AD,AMFİ PROGRAMINA BAKINIZ
KAN-LENFOİD 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Hematoloji BD,CEMİL TOPUZLU AMFİSİ
Geriatri BD,Temel Bilimler Binası AMFİ 3
Acil Dahiliye BD,ACİL DAHİLİYE BİNASI
Kan Merkezi,FTR A SINIFI
Çocuk Hematoloji BD,Sami ZAN amfisi
Alerji BD,İNGİLİZCE TIP BİNASI ROOM 2
DOLAŞIM 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Çocuk Kardiyoloji BD,AMFİ PROGRAMINA BAKINIZ
Çocuk Genel Pediatri,AMFİ PROGRAMINA BAKINIZ
Kardiyoloji AD,ANABİLİM DALI
Spor Hekimliği AD ,ANABİLİM DALI
İç Hastalıkları,AMFİ PROGRAMINA BAKINIZ
Kalp ve Damar Cerrahisi AD,AMFİ PROGRAMINA BAKINIZ
SOLUNUM 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Çocuk Sağlığı ve Hastalıkları AD,AMFİ PROGRAMINA BAKINIZ
Göğüs Hastalıkları AD,ANABİLİM DALI
Anesteziyoloji ve Reanimasyon AD,AMFİ PROGRAMINA BAKINIZ
Göğüs Cerrahisi AD,AMFİ PROGRAMINA BAKINIZ
Spor Hekimliği AD ,ANABİLİM DALI
Kulak Burun Boğaz AD,ANABİLİM DALI
ENDOKRİN - METABOLİZMA 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Çocuk Endokrin-Metabolizma,AMFİ PROGRAMINA BAKINIZ
Tıbbi Genetik BD,ANABİLİM DALI
Endokrin BD,AMFİ PROGRAMINA BAKINIZ
Spor Hekimliği AD ,ANABİLİM DALI
Nükleer Tıp AD,AMFİ PROGRAMINA BAKINIZ
Tıbbi Biyokimya AD,ANABİLİM DALI
SİNDİRİM 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Gastroentoloji BD.,
Çocuk Gastroentoloji BD.,AMFİ PROGRAMINA BAKINIZ
Genel Pediatri BD,AMFİ PROGRAMINA BAKINIZ
Acil Dahiliye BD,FTR BİNASI
Genel Cerrahi AD,
ÜROGENİTAL VE ÜREME II DİLİMİ,
PRATİK ADI,PRATİK YERİ
Kadın Hastalıkları ve Doğum AD,ANABİLİM DALI
Nefroloji BD,
Çocuk Nefroloji BD,AMFİ PROGRAMINA BAKINIZ
Üroloji AD,
SİNİR DUYU 2 DİLİMİ,
PRATİK ADI,PRATİK YERİ
Deri ve Zührevi Hastalıklar AD,ANABİLİM DALI
Nöroloji AD,AMFİ PROGRAMINA BAKINIZ
Çocuk Nefroloji BD,AMFİ PROGRAMINA BAKINIZ
Göz Hastalıkları AD,ANABİLİM DALI
Kulak Burun Boğaz AD,ANABİLİM DALI
